x_lim,polyfit_parameter1,polyfit_parameter2,polyfit_parameter3,polyfit_parameter4,polyfit_parameter5,polyfit_parameter6,polyfit_parameter7,polyfit_parameter8,polyfit_parameter9,polyfit_parameter10,polyfit_parameter11,polyfit_parameter12,polyfit_parameter13,polyfit_parameter14,polyfit_parameter15,polyfit_parameter16
1000,3.001346387459113129e-38,-2.271440911407315925e-34,7.770107680502495047e-31,-1.588617928081885552e-27,2.162860471513552074e-24,-2.067941831392037551e-21,1.426869946773632936e-18,-7.189004322271442814e-16,2.645780663276618228e-13,-7.043586368680144601e-11,1.328646020834520363e-08,-1.715692173904886172e-06,1.436136614350272552e-04,-7.155805591286620686e-03,1.363653078700839683e-01,2.377042577477807583e+02
1000,5.155425152871036741e-38,-3.883700246043460987e-34,1.322020155055302278e-30,-2.688545412344827581e-27,3.638935080987397442e-24,-3.456396914566880002e-21,2.367110135880779816e-18,-1.182395085747242322e-15,4.308249749408738227e-13,-1.133567319051866426e-10,2.108910464709420274e-08,-2.679068558979115008e-06,2.199525077011077554e-04,-1.070066140759204885e-02,2.209014029133864465e-01,3.665740095090779391e+02
1925,4.167847428090733115e-43,-6.237279479416605149e-39,4.219700788847196059e-35,-1.706149723274786915e-31,4.592512011453071571e-28,-8.676401710505323586e-25,1.181863385263717245e-21,-1.173958470124619476e-18,8.502542928647181815e-16,-4.444027090482943074e-13,1.640945010814373847e-10,-4.132350583868849252e-08,6.707970254631499346e-06,-6.552475528324119792e-04,1.683411264309477018e-02,3.833170460673160278e+02
1925,2.795423443539814403e-43,-4.201600927440925257e-39,2.851799151460330306e-35,-1.155362825542921694e-31,3.111478330818017429e-28,-5.871129359125621607e-25,7.971859186053423204e-22,-7.875705485495350912e-19,5.658988055767643145e-16,-2.925883266428000439e-13,1.064873875280891856e-10,-2.629866803205136888e-08,4.151975203625229067e-06,-3.945343929881009785e-04,4.849425160520435575e-03,5.103310299413656708e+02
2048,-6.810810702384482385e-45,8.312132816255899751e-41,-4.324720337016844698e-37,1.248470697227847274e-33,-2.210620205475751663e-30,2.710637771220421657e-27,-3.306009423341028746e-24,5.438542711078309407e-21,-8.360807196834327325e-18,9.002337477844069892e-15,-6.370695259445793913e-12,2.897064058009189072e-09,-8.138851625198529359e-07,1.196345570188267341e-04,-2.826807453377909625e-03,5.154509733017466715e+02
2048,3.838214389574380752e-43,-5.614118158592443040e-39,3.680192905913845392e-35,-1.426984510570203639e-31,3.638141968565119591e-28,-6.413706781831941465e-25,8.007068305581410051e-22,-7.135457848084483501e-19,4.524177572378075560e-16,-2.017545079741749607e-13,6.223831700660304758e-11,-1.304151991801177618e-08,1.808381690824693287e-06,-1.630962004292664709e-04,1.399440936582392776e-02,6.397465942112764878e+02
2048,1.839430836801265812e-43,-2.899661138296446023e-39,2.069661990273217988e-35,-8.839296698970487522e-32,2.514560767186228710e-28,-5.017965413946013564e-25,7.204023393157407650e-22,-7.506147686369831367e-19,5.653468859042490443e-16,-3.028357620469953529e-13,1.119200681439339892e-10,-2.716660663616052937e-08,3.999660319559695398e-06,-3.124127410904938527e-04,2.257305180937050140e-02,6.482673057683630304e+02
2048,-6.503606630956554244e-45,3.279248960565259838e-41,2.805483937772940779e-37,-3.442527607283315392e-33,1.623650001671490556e-29,-4.524803228478608704e-26,8.326753412726206642e-23,-1.056840113342115142e-19,9.386877778196349809e-17,-5.811007044641410606e-14,2.455814822839716303e-11,-6.809146417405831711e-09,1.162782308847315322e-06,-1.191904458323340521e-04,2.346533610870512807e-02,7.701744824389521682e+02
2048,9.451094071498684452e-44,-1.392031647954057051e-39,9.193107825354563227e-36,-3.593780131592239925e-32,9.247852460822723108e-29,-1.648411162660371594e-25,2.086579035948269117e-22,-1.893621567780812662e-19,1.231073316475552835e-16,-5.687717699714461693e-14,1.845674412589422458e-11,-4.159253382918710355e-09,6.418807395978841964e-07,-6.434807493167608600e-05,7.741797834726436324e-03,8.198371299499813176e+02
2048,-6.712487631790780217e-44,9.371242713605127585e-40,-5.829291735980966231e-36,2.127372541073373439e-32,-5.042590963847053033e-29,8.103502259260648899e-26,-8.913952094602887105e-23,6.566607934461668332e-20,-3.001567232933690887e-17,6.488816681687667132e-15,5.891046071847853976e-13,-5.689289119466853263e-10,3.383880378285657241e-08,2.665894081898523261e-05,7.813072352800939837e-04,9.397734151959600695e+02
